题目(title),网址(url),播放量(play_count),弹幕(danmu),上传时间(upload_date),作者UP主(author),UP主个人界面(author_url)
唱支山歌给党听——央视新闻2021年主题快闪MV,//www.bilibili.com/video/BV1CA411K7tw?from=search,4.2万,80,2021-03-02,寻望01,//space.bilibili.com/23823165?from=search
乌兰图雅 唱支山歌给党听 央视新闻联播20210624 央视频,//www.bilibili.com/video/BV1DX4y1A7Ke?from=search,8.6万,114,2021-06-24,ZLIFE_,//space.bilibili.com/1618627924?from=search
【央视】姚轶滨首秀主持《新闻1+1》（2021.6.17）,//www.bilibili.com/video/BV1Sg411g75V?from=search,3541,0,2021-06-17,HeyTap_Focus,//space.bilibili.com/1658300889?from=search
【放送事故】央视《新闻直播间》片尾失误，直接切到广告的第一秒画面,//www.bilibili.com/video/BV14K4y1S7mv?from=search,2.5万,4,2021-02-19,账号注销3332361,//space.bilibili.com/262297067?from=search
[央视新闻] 习近平，细微之处凸显“暖男”范儿,//www.bilibili.com/video/BV1Ux411t7yA?from=search,28.2万,406,2017-09-01,哔哩小红旗,//space.bilibili.com/86335477?from=search
【王冰冰】王冰冰央视新闻含冰量统计排名冰冰皮肤合集,//www.bilibili.com/video/BV1qU4y1475b?from=search,5.2万,91,2021-01-25,sakizbs,//space.bilibili.com/382835968?from=search
王冰冰的可爱瞬间，或许这是我为什么喜欢看央视新闻的原因吧,//www.bilibili.com/video/BV1W54y1r7uu?from=search,40.3万,420,2020-11-05,candy尼莫,//space.bilibili.com/62059914?from=search
央视新闻——“也许这就是这个老人能拿到中国绿卡的原因。”,//www.bilibili.com/video/BV1Yv41157jG?from=search,80.0万,7276,2021-05-11,汉字叔叔教识字,//space.bilibili.com/697174669?from=search
【1080P/60FPS】在Minecraft中还原央视《新闻联播》片头！,//www.bilibili.com/video/BV1zc411h7QP?from=search,34.6万,922,2020-04-05,HabQi,//space.bilibili.com/102607745?from=search
【王冰冰】央视新闻频道清明特别节目 何岩柯连线总台央视记者王冰冰,//www.bilibili.com/video/BV1J5411A7FD?from=search,2.0万,49,2021-04-04,放送TV,//space.bilibili.com/95781568?from=search
央视《新闻联播》历年片尾（1997-今，有演播室介绍）,//www.bilibili.com/video/BV1Zb411q7Jp?from=search,5.4万,206,2019-03-02,铑白熊,//space.bilibili.com/348030217?from=search
央视新闻张韬嘴瓢失误合集，今天也是贷款上班的一天呢,//www.bilibili.com/video/BV14f4y1x741?from=search,9.4万,309,2021-03-26,狗友唠嗑,//space.bilibili.com/389640553?from=search
【短片】央视《新闻联播》惊现无台标无水印版片头（各位UP主可以拿去当素材了）,//www.bilibili.com/video/BV12J411Q79X?from=search,6.4万,39,2019-11-30,地铁达人守望者,//space.bilibili.com/36566970?from=search
【央视】新闻频道的完整版晨曲复活了？！（2021.6.27）,//www.bilibili.com/video/BV1qb4y1C7gf?from=search,3632,2,2021-06-27,HeyTap_Focus,//space.bilibili.com/1658300889?from=search
【朱一龙】优秀！居老师上央视新闻了！,//www.bilibili.com/video/BV134411i7CN?from=search,15.7万,157,2019-05-04,贰亿少女的梦,//space.bilibili.com/279266141?from=search
【汶川地震11周年】20080513 央视新闻联播片段,//www.bilibili.com/video/BV164411h75N?from=search,16.7万,316,2019-05-12,铑白熊,//space.bilibili.com/348030217?from=search
【央视新闻报道】邓紫棋带妈妈上中秋晚会 带来《萤火》,//www.bilibili.com/video/BV1dT4y1w78E?from=search,6.1万,105,2020-09-17,邓紫棋的薄荷糖,//space.bilibili.com/47364749?from=search
央视新闻失误合集《新闻笑6分》（第六期）,//www.bilibili.com/video/BV1wf4y1b793?from=search,2.2万,188,2021-06-21,Car1234567,//space.bilibili.com/191118747?from=search
【汶川十年】央视在地震发生后的最早一批《突发新闻》（2008/05/12 16:00）,//www.bilibili.com/video/BV1fp411o7LQ?from=search,73.6万,1971,2018-05-13,Simon_007,//space.bilibili.com/13793618?from=search
【自制】【摸鱼】央视新闻频道直播失误集锦 01,//www.bilibili.com/video/BV1Sb4y1C7tv?from=search,1031,8,2021-07-05,Ben_en,//space.bilibili.com/166497928?from=search
【笑死人不偿命】央视新闻直播失误集锦（一二三季综合版）,//www.bilibili.com/video/BV11J411F7Fr?from=search,6.3万,708,2019-10-07,XP君字幕组,//space.bilibili.com/456064181?from=search
【突发新闻】央视新闻播发《袁隆平院士逝世》（《新闻直播间》2021年5月22日13:52时段）,//www.bilibili.com/video/BV1Wq4y1E7y1?from=search,80.7万,2280,2021-05-22,地铁达人守望者,//space.bilibili.com/36566970?from=search
【口误】笑容逐渐消失！央视午夜新闻结尾处主持人口误 20191122,//www.bilibili.com/video/BV1MJ411d7fP?from=search,5.9万,30,2019-11-23,DLTV放送中心,//space.bilibili.com/104401774?from=search
央视新闻里的石原里美，高兴的像个憨憨,//www.bilibili.com/video/BV127411L7He?from=search,112.4万,229,2020-02-19,铁罐tiktok,//space.bilibili.com/407959540?from=search
各少数民族语言（方言）译制版央视新闻联播片头效果,//www.bilibili.com/video/BV1oW411N7V5?from=search,26.6万,905,2018-04-07,Chocolateboy1991,//space.bilibili.com/290153135?from=search
【罕见】央视新闻频道播出《新闻20分》,//www.bilibili.com/video/BV1EK411T7CS?from=search,6.0万,27,2020-08-08,CG放送,//space.bilibili.com/411619253?from=search
武广高速铁路正式运营 央视新闻联播（高清）,//www.bilibili.com/video/BV1TM4y1u7dF?from=search,6251,3,2021-06-15,fm948,//space.bilibili.com/1785495551?from=search
【松重丰】叔上央视新闻啦！！！,//www.bilibili.com/video/BV1fo4y1C7qZ?from=search,43.5万,979,2021-06-13,沢月奈美,//space.bilibili.com/7678026?from=search
央视新闻专访刘鹤：想获市场份额，必须让中国人民高兴,//www.bilibili.com/video/BV1Wp411o77w?from=search,17.2万,758,2018-05-22,观察者网,//space.bilibili.com/10330740?from=search
为什么喜欢看新闻联播？你们要的初恋脸 央视记者 王冰冰,//www.bilibili.com/video/BV1cK411K7Z2?from=search,5.6万,18,2020-08-28,新冰连,//space.bilibili.com/88704756?from=search
【央视】时隔81天，郭志坚回归《新闻联播》主播台(2021.7.7),//www.bilibili.com/video/BV1T44y1B7JR?from=search,5506,1,2021-07-07,CG放送,//space.bilibili.com/411619253?from=search
1.27央视新闻就武汉市红十字会辟谣,//www.bilibili.com/video/BV1f7411s7B9?from=search,4.7万,280,2020-02-01,适量追梦的西兰花,//space.bilibili.com/266005216?from=search
朝鲜平壤大型现代化商场开业 央视新闻 12.01.06,//www.bilibili.com/video/BV16f4y1b7nz?from=search,1879,1,2021-07-03,fm948,//space.bilibili.com/1785495551?from=search
鹿晗《勋章》太出圈了吧！被用作央视新闻报道中国奥运选手夺金bgm，超厉害，超励志,//www.bilibili.com/video/BV1cJ411w71v?from=search,49.0万,1282,2019-09-16,夜的尽头有鹿晗,//space.bilibili.com/189058999?from=search
周杰伦再登央视新闻！台湾艺人恐怕只有杰伦敢向全国人民问好！,//www.bilibili.com/video/BV13y4y1n7ma?from=search,15.6万,37,2021-02-16,发发叫发发,//space.bilibili.com/1766976778?from=search
张伟丽42秒夺冠后央视新闻播报，这排面安排的舒服,//www.bilibili.com/video/BV184411m7pX?from=search,4.4万,3,2019-09-01,老胡说家,//space.bilibili.com/240581042?from=search
央视新闻联播片尾曲原来这么好听的,//www.bilibili.com/video/BV1Nq4y1j73G?from=search,6319,2,2021-05-29,梓楷,//space.bilibili.com/3141353?from=search
【治沙】央视新闻直播揭秘“沙漠土壤化”黑科技,//www.bilibili.com/video/BV1hx411j79q?from=search,4.0万,1211,2017-11-06,灰灶猫,//space.bilibili.com/5694112?from=search
从CCTV5到CCTV13！央视新闻频道聚焦巴托梅乌被逮捕,//www.bilibili.com/video/BV1Kf4y147Dt?from=search,1.7万,16,2021-03-04,一杯肥宅快乐水要加冰,//space.bilibili.com/7623608?from=search
用TVB的方式开启央视新闻30分,//www.bilibili.com/video/BV1uo4y1y74q?from=search,6081,10,2021-06-09,fm948,//space.bilibili.com/1785495551?from=search
【央视新闻】广东专家在塞尔维亚吃山东师傅做的川菜,//www.bilibili.com/video/BV1764y1T7Ds?from=search,15.0万,220,2020-04-22,沙雕分享,//space.bilibili.com/518189214?from=search
央视《新闻联播》画面出现蔡依林（2009年8月26日）,//www.bilibili.com/video/BV1gx411V75C?from=search,15.1万,170,2017-09-30,蔡依林本质粉丝团,//space.bilibili.com/2059586?from=search
【笑死人不偿命】央视新闻联播失误合集,//www.bilibili.com/video/BV1kC4y1H7bj?from=search,4.0万,146,2020-05-11,闲梦旧兮,//space.bilibili.com/64503560?from=search
2012.8.2 央视新闻联播节目开场、结尾,//www.bilibili.com/video/BV1WL411H7F2?from=search,308,0,2021-07-12,fm948,//space.bilibili.com/1785495551?from=search
【胡歌】央视新闻：这一刻我们看到祖国的强大,//www.bilibili.com/video/BV12E411R7id?from=search,13.8万,332,2019-09-29,水煮鱼米线,//space.bilibili.com/1534095?from=search
澳广视转播央视新闻30分（2017/11/20 CCTV1）,//www.bilibili.com/video/BV18o4y1X7wZ?from=search,643,0,2021-07-10,fm948,//space.bilibili.com/1785495551?from=search
央视《新闻联播》片头,//www.bilibili.com/video/BV1cE411c7Ki?from=search,13.6万,47,2020-03-23,时代寰星电台,//space.bilibili.com/22608342?from=search
【新闻片头+简史】央视新闻直播间 整点新闻 历年片头+简史（2021.4）,//www.bilibili.com/video/BV1px411k7vg?from=search,5.7万,438,2017-03-26,newsfile,//space.bilibili.com/15118020?from=search
央视新闻失误集锦第五季,//www.bilibili.com/video/BV1Jt4y1D7j1?from=search,8.5万,308,2020-07-31,全军战场,//space.bilibili.com/352649863?from=search
【央视】新闻频道CCTV-13《这五年》,//www.bilibili.com/video/BV1vp4y1t7Ck?from=search,1.2万,141,2021-04-08,八神逸枫,//space.bilibili.com/10289419?from=search
【觉醒年代】20210619云游《觉醒年代》红色路线（央视新闻新媒体直播）,//www.bilibili.com/video/BV1vf4y187fe?from=search,3290,12,2021-06-19,且将新火试新茶1219,//space.bilibili.com/308749556?from=search
【放送文化】邹韵首次主持总台央视新闻频道《环球视线》节目,//www.bilibili.com/video/BV1ry4y1174y?from=search,2.4万,2,2021-02-02,虹观PRISM,//space.bilibili.com/382587848?from=search
【自制】【摸鱼】央视新闻频道直播失误集锦 02,//www.bilibili.com/video/BV1364y147Jk?from=search,1414,8,2021-07-09,Ben_en,//space.bilibili.com/166497928?from=search
【突发报道】新闻联播23点档开播？！央视24小时在新闻联播演播室的首秀！,//www.bilibili.com/video/BV1Xh41187nF?from=search,2194,3,2021-06-26,DLTV放送中心,//space.bilibili.com/104401774?from=search
【央视】新闻30分历年片头（2020.7.25更新）,//www.bilibili.com/video/BV1wW411M76P?from=search,13.4万,556,2018-04-05,LL智造,//space.bilibili.com/1903951?from=search
【胡歌】央视新闻——春晚后台，胡歌快问快答！,//www.bilibili.com/video/BV1ws41187JR?from=search,4.9万,311,2017-01-26,饿了吧奥利奥,//space.bilibili.com/8624496?from=search
央视新闻频道 新闻30分 中场片头、广告、中场片头、广告、天气预报、ED 2007/7/3,//www.bilibili.com/video/BV1xM4y1K7ti?from=search,240,0,2021-07-13,小四放送,//space.bilibili.com/390205819?from=search
震惊！央视新闻连线竟用QQ！,//www.bilibili.com/video/BV1f4411D7wi?from=search,20.5万,36,2019-08-11,CG放送,//space.bilibili.com/411619253?from=search
央视《新闻周刊》BGM周深《化身孤岛的鲸》,//www.bilibili.com/video/BV1fs411G77p?from=search,14.0万,180,2018-07-03,孤岛叻,//space.bilibili.com/29128795?from=search
【央视新闻报道】美国网站公布解密UFO档案13万份美空军解密文件被公布,//www.bilibili.com/video/BV1Yj411f7HC?from=search,9.4万,229,2020-02-23,每天都要努力啊,//space.bilibili.com/117497418?from=search
