题目(title),网址(url),播放量(play_count),弹幕(danmu),上传时间(upload_date),作者UP主(author),UP主个人界面(author_url)
【周深&毛不易】梦幻联动！“易往情深”的合作《GOT IT》,//www.bilibili.com/video/BV1GK4y1Q7QF?from=search,101.2万,1.6万,2021-02-06,QQ音乐,//space.bilibili.com/533622509?from=search
【周深】火红的萨日朗 完整版,//www.bilibili.com/video/BV1C7411g7Hr?from=search,254.9万,7771,2020-02-15,您的脱单小助手,//space.bilibili.com/472894595?from=search
【卡布叻_周深】一期一会《未闻花名》,//www.bilibili.com/video/BV11x411v7mk?from=search,159.2万,7854,2017-05-21,卡布叻_周深,//space.bilibili.com/3404595?from=search
【616真心夜】周深再唱《化身孤岛的鲸》，唱跳俱佳真是《大艺术家》！,//www.bilibili.com/video/BV1eo4y1k7xM?from=search,16.9万,2882,2021-06-16,酷我音乐,//space.bilibili.com/1824939061?from=search
【周深の鬼畜小剧场】执着的啾星,//www.bilibili.com/video/BV1wB4y1F7sc?from=search,33.8万,3010,2021-05-09,项羽叻,//space.bilibili.com/321776139?from=search
绝了，周深昨晚唱的和今天神舟十二简直不要太配，no fear in my heart,//www.bilibili.com/video/BV1P64y1r7vC?from=search,7.3万,460,2021-06-17,陈同学的脑洞,//space.bilibili.com/35238779?from=search
纯享版：周深《身骑白马》-蒙面唱将猜猜猜1023,//www.bilibili.com/video/BV16s411Y7zF?from=search,380.4万,9946,2016-12-05,周深的迷妹,//space.bilibili.com/41721213?from=search
《蒙面唱将猜猜猜》第六期 周深揭面惊艳全场！,//www.bilibili.com/video/BV1dx41147UE?from=search,542.9万,2.2万,2017-08-29,F萧木,//space.bilibili.com/32301566?from=search
亲爱的旅人啊【千与千寻】,//www.bilibili.com/video/BV1A4411N7Kb?from=search,608.4万,4.2万,2019-06-14,卡布叻_周深,//space.bilibili.com/3404595?from=search
【周深】《关于青春》讲述追梦无畏,//www.bilibili.com/video/BV1Ki4y1b7g1?from=search,38.9万,6079,2020-05-03,周深资讯站,//space.bilibili.com/194024972?from=search
周深：鬼畜我吧！就没听过这种要求的,//www.bilibili.com/video/BV1g5411T7Lk?from=search,20.7万,2516,2021-06-18,木木木易520,//space.bilibili.com/75014708?from=search
【周深】月光爱人丨我用所有报答爱丨大鱼 （深圳南山音乐节live高清focus）,//www.bilibili.com/video/BV1zo4y1179Q?from=search,23.1万,1756,2021-05-26,暮酒余温,//space.bilibili.com/162684301?from=search
【东京喰種/周深】神仙合唱！B站首个周深&TK合唱《unravel》版本！左右声道《Unravel》自制AMV（更新BML现场版伪合唱）,//www.bilibili.com/video/BV1HV411C7jC?from=search,214.5万,9179,2020-05-28,狂妄的鲁蛇,//space.bilibili.com/15243524?from=search
周深再唱《起风了》，这两句直接唱到心里，绝了！,//www.bilibili.com/video/BV1E84y1F7dr?from=search,245.6万,2070,2021-04-24,嗑糖少女000,//space.bilibili.com/32782335?from=search
周深《我，江湖！》【一梦江湖三周年纪念曲】,//www.bilibili.com/video/BV1BV411q77B?from=search,127.9万,1.3万,2021-01-23,网易一梦江湖官方,//space.bilibili.com/177976892?from=search
【歌手】周深唱《达尼亚》，惊喜混搭俄语歌《红莓花儿开》,//www.bilibili.com/video/BV1TE411V77q?from=search,267.1万,14.5万,2020-03-14,腾讯综艺,//space.bilibili.com/8011552?from=search
【创造营2021】周深首秀舞台《自己按门铃自己听》,//www.bilibili.com/video/BV1ch411y7Nw?from=search,289.5万,9346,2021-02-17,腾讯综艺,//space.bilibili.com/8011552?from=search
周深：“啊啊啊啊啊啊啊啊啊啊”,//www.bilibili.com/video/BV1tD4y1d7kh?from=search,36.0万,867,2020-10-14,阿宅Hsien,//space.bilibili.com/361040546?from=search
明星第一次听周深唱歌名场面，任家萱惊的张大了嘴，孙怡当场愣住,//www.bilibili.com/video/BV15V411776n?from=search,34.6万,1121,2021-05-28,我家房子塌不了,//space.bilibili.com/1604730261?from=search
【周深】《起风了》饭拍，这麦距它合法吗？！？！？！？！,//www.bilibili.com/video/BV18K411c7xY?from=search,67.1万,363,2021-04-25,卡布叻_桃子同学,//space.bilibili.com/80663609?from=search
【周深】2021年第二十一首新歌《如约》20210622,//www.bilibili.com/video/BV1zw411o7mf?from=search,4025,24,2021-06-22,自己按门铃自己听2015,//space.bilibili.com/535723698?from=search
【周深の鬼畜小剧场】停车场的啾星,//www.bilibili.com/video/BV1wy4y1h7hG?from=search,71.2万,3356,2021-03-19,项羽叻,//space.bilibili.com/321776139?from=search
【REACTION】周深《Try Everything、来不及勇敢、遇见》哔哩哔哩夏日毕业歌会 || 3 Musketeers Reaction马来西亚三剑客,//www.bilibili.com/video/BV1UU4y1G736?from=search,2.2万,949,2021-06-22,马来西亚三剑客,//space.bilibili.com/1820494274?from=search
周深《请笃信一个梦》&《This Is Me》，神仙开嗓！【2020 B站跨年晚会单品】,//www.bilibili.com/video/BV1Sz4y1r7VP?from=search,431.5万,5.1万,2020-12-31,哔哩哔哩晚会,//space.bilibili.com/489412051?from=search
【跨舞台合唱】当林俊杰、吴青峰、周深共同演唱《起风了》网友： 该毁灭了！,//www.bilibili.com/video/BV1Uh411k7sq?from=search,331.0万,1.2万,2021-03-02,QQ音乐,//space.bilibili.com/533622509?from=search
「Rubia」——《崩坏3》印象曲（演唱者：周深）,//www.bilibili.com/video/BV1Yv4y1o7dw?from=search,435.8万,1.8万,2021-01-29,崩坏3第一偶像爱酱,//space.bilibili.com/27534330?from=search
周深-大艺术家 周深唱跳舞台新鲜解锁[飞机]又甜又撩，又high又稳，谁听了不说一句大艺术家！,//www.bilibili.com/video/BV1Ch411a7ta?from=search,17.3万,1854,2021-06-17,江苏卫视,//space.bilibili.com/24832070?from=search
【周深】青春环游记  周深cut合集 已更完！！,//www.bilibili.com/video/BV1Jt4y1Q7rH?from=search,53.1万,1.2万,2020-07-07,盐焗小星星z,//space.bilibili.com/183962365?from=search
【4K60帧】周深献唱《缘起》 前世深情，美轮美奂欲罢不能【BML2020单品】,//www.bilibili.com/video/BV1zK411J7nC?from=search,376.9万,2.4万,2020-07-25,BML制作指挥部,//space.bilibili.com/403748305?from=search
【中字】好听的毕业歌！熟人夫妻对周深《Try  everything》的中字reaction视频,//www.bilibili.com/video/BV1cq4y1j7q5?from=search,4460,22,2021-06-22,小鹿ssu,//space.bilibili.com/291750640?from=search
贝雷帽周深给毕业生清唱达拉崩吧，啊还歪头萌我一脸，太可爱啦叭ヾ(✿ﾟ▽ﾟ)ノ,//www.bilibili.com/video/BV1fM4y1M7ui?from=search,3.9万,111,2021-06-20,浅笑夕颜丽,//space.bilibili.com/396273635?from=search
「周深𝙊𝙘𝙩𝙤𝙥𝙪𝙨」感受一下什么叫伪O实A,//www.bilibili.com/video/BV1D54y1G7Ts?from=search,1.6万,66,2021-06-20,正常执业经里人,//space.bilibili.com/454492977?from=search
周深，一个埋伏在撒贝宁身边最大的黑粉,//www.bilibili.com/video/BV1AK4y1K7wa?from=search,134.9万,1508,2021-04-05,狗友唠嗑,//space.bilibili.com/389640553?from=search
我和周深弟弟的再次合作——《星际列车》！,//www.bilibili.com/video/BV16v411y78K?from=search,143.4万,7241,2020-08-16,郎朗,//space.bilibili.com/479893558?from=search
周深《Vincent》what you tried to say to me？,//www.bilibili.com/video/BV1D64y1r7hs?from=search,11.1万,1369,2021-06-16,阿里巴巴,//space.bilibili.com/250475408?from=search
【纯享收藏级】周深《起风了》,//www.bilibili.com/video/BV1Yv411B7Kh?from=search,263.4万,7786,2020-06-27,小天才谢耳朵,//space.bilibili.com/226084148?from=search
【周深】清唱示范《曹操》,//www.bilibili.com/video/BV1E54y1Y7D3?from=search,220.6万,608,2021-02-17,hikonia,//space.bilibili.com/2254270?from=search
【周深】请中心位出道吧！唱跳六国语言版主题曲太稳了！【创造营2021】,//www.bilibili.com/video/BV17K4y1S762?from=search,139.9万,3789,2021-03-27,腾讯视频官号,//space.bilibili.com/338000535?from=search
史诗级联动！萨顶顶周深共唱《左手指月》,//www.bilibili.com/video/BV19T4y1c7op?from=search,637.6万,2.4万,2020-10-01,央视新闻,//space.bilibili.com/456664753?from=search
【周深】六一儿童节福利《金钟罩铁布衫》,//www.bilibili.com/video/BV1rV411x7jm?from=search,17.3万,1756,2021-06-01,周深资讯站,//space.bilibili.com/194024972?from=search
【周深】《月光爱人》多机位Live混剪 × 八语字幕丨2021南山流行音乐节,//www.bilibili.com/video/BV1vw411Z7H8?from=search,10.1万,1174,2021-06-07,周深资讯站,//space.bilibili.com/194024972?from=search
【纯享】周深《烟花易冷》,//www.bilibili.com/video/BV1Ua4y1a7Ay?from=search,75.5万,1429,2020-07-18,Amphishen,//space.bilibili.com/491123341?from=search
[周深]2018年《蒙面唱将》第3季“宫廷背包客(小耳机or小汤圆)”cut,//www.bilibili.com/video/BV1Kt411S7Ru?from=search,195.9万,6.2万,2018-12-06,jyuan1104,//space.bilibili.com/237352980?from=search
2020歌手当打之年 周深cut合集 暴力硬核剪辑,//www.bilibili.com/video/BV1Fh411o75k?from=search,82.5万,3.7万,2020-08-16,WHYy歪,//space.bilibili.com/37908330?from=search
【周深】生日直播《偏爱》 啊爷青回！！,//www.bilibili.com/video/BV1G54y1k7Ad?from=search,57.2万,1394,2020-09-30,阿宅Hsien,//space.bilibili.com/361040546?from=search
周深：周深王子“如约而来”，新歌发布即入榜五！| 小道会,//www.bilibili.com/video/BV1Kq4y1s7tx?from=search,5285,22,2021-06-22,小道会,//space.bilibili.com/515292948?from=search
【周深|reaction】太可爱啦 这才是猛男必看  德国小哥看周深唱儿歌,//www.bilibili.com/video/BV1ZM4y1M7e8?from=search,10.6万,1846,2021-06-14,德国小哥duke杜克,//space.bilibili.com/449208603?from=search
【612潮盛典】满满回忆杀！《潮·深动》周深中国动画儿歌大串烧！,//www.bilibili.com/video/BV1rb4y1d7dd?from=search,11.9万,5648,2021-06-12,百度潮盛典,//space.bilibili.com/595014228?from=search
鹅没有心 要不是nei nei 谁知道周深初舞台时候还唱了这个,//www.bilibili.com/video/BV1m5411K73L?from=search,6.4万,31,2021-06-17,沐春118,//space.bilibili.com/257451834?from=search
【周深】开嗓唱黄梅戏，一曲《女驸马》惊呆众人！,//www.bilibili.com/video/BV1H7411k7dm?from=search,220.8万,1928,2020-01-26,周深资讯站,//space.bilibili.com/194024972?from=search
【周深】《斯卡布罗集市》哦这该死的甜美,//www.bilibili.com/video/BV1dJ41117W7?from=search,57.5万,765,2019-11-20,打哈欠闪了腰,//space.bilibili.com/289035223?from=search
【周深】wmdg 纯享版完整合集 【1080P】,//www.bilibili.com/video/BV1x5411t7Ak?from=search,103.7万,1.2万,2020-04-08,一杯磨茶,//space.bilibili.com/14269304?from=search
【周深】李克勤 周深《那片海》 勤深深再现绝美高音！,//www.bilibili.com/video/BV1AJ411Y7FM?from=search,163.9万,9715,2019-12-29,Emotional_JJ,//space.bilibili.com/427368140?from=search
【官方】周深演唱《姜子牙》片尾曲MV发布啦,//www.bilibili.com/video/BV1wJ411J7DV?from=search,402.9万,1.9万,2020-01-14,光线电影官方,//space.bilibili.com/90538663?from=search
【周深】猜 猜 我 是 谁,//www.bilibili.com/video/BV1AM4y1u7nG?from=search,1.4万,99,2021-06-21,想吃荷包蛋耶,//space.bilibili.com/12564664?from=search
【周深新歌】《繁星璀璨的天空》向革命先辈们致敬！,//www.bilibili.com/video/BV1Dw411Z7VF?from=search,7.7万,450,2021-06-09,酷我音乐,//space.bilibili.com/1824939061?from=search
官方正式版来了！周深倾情演绎《和光同尘》,//www.bilibili.com/video/BV1yq4y1j7f5?from=search,11.1万,917,2021-06-03,中国台湾网,//space.bilibili.com/640078081?from=search
周深乌克兰语俄语对话&即兴合唱乌克兰歌曲,//www.bilibili.com/video/BV1HN41197fS?from=search,237.2万,3056,2021-02-27,hikonia,//space.bilibili.com/2254270?from=search
