题目(title),网址(url),播放量(play_count),弹幕(danmu),上传时间(upload_date),作者UP主(author),UP主个人界面(author_url)
「Rubia」——《崩坏3》印象曲（演唱者：周深）,//www.bilibili.com/video/BV1Yv4y1o7dw?from=search,436.2万,1.8万,2021-01-29,崩坏3第一偶像爱酱,//space.bilibili.com/27534330?from=search
周深，一个埋伏在撒贝宁身边最大的黑粉,//www.bilibili.com/video/BV1AK4y1K7wa?from=search,135.2万,1511,2021-04-05,狗友唠嗑,//space.bilibili.com/389640553?from=search
【周深】十大开口跪高光时刻,//www.bilibili.com/video/BV1wk4y1o7iJ?from=search,58.0万,5619,2020-04-04,他们都叫我陈老师,//space.bilibili.com/376801463?from=search
【官方】周深演唱《姜子牙》片尾曲MV发布啦,//www.bilibili.com/video/BV1wJ411J7DV?from=search,403.0万,1.9万,2020-01-14,光线电影官方,//space.bilibili.com/90538663?from=search
明星第一次听周深唱歌名场面，任家萱惊的张大了嘴，孙怡当场愣住,//www.bilibili.com/video/BV15V411776n?from=search,35.0万,1134,2021-05-28,我家房子塌不了,//space.bilibili.com/1604730261?from=search
【周深】青春环游记  周深cut合集 已更完！！,//www.bilibili.com/video/BV1Jt4y1Q7rH?from=search,53.2万,1.2万,2020-07-07,盐焗小星星z,//space.bilibili.com/183962365?from=search
我和周深弟弟的再次合作——《星际列车》！,//www.bilibili.com/video/BV16v411y78K?from=search,143.5万,7243,2020-08-16,郎朗,//space.bilibili.com/479893558?from=search
【青春环游记】周深陈卓璇唱《眼泪成诗》，听觉盛宴！,//www.bilibili.com/video/BV1Cv411v7Di?from=search,98.0万,1.0万,2020-08-08,青春环游记,//space.bilibili.com/535511499?from=search
各种语言无缝切换！“语言小天才”周深上线,//www.bilibili.com/video/BV1Uy4y1J7HE?from=search,133.1万,3229,2021-03-01,央视频,//space.bilibili.com/433587902?from=search
【周深】请中心位出道吧！唱跳六国语言版主题曲太稳了！【创造营2021】,//www.bilibili.com/video/BV17K4y1S762?from=search,140.1万,3789,2021-03-27,腾讯视频官号,//space.bilibili.com/338000535?from=search
【612潮盛典】满满回忆杀！《潮·深动》周深中国动画儿歌大串烧！,//www.bilibili.com/video/BV1rb4y1d7dd?from=search,12.1万,5660,2021-06-12,百度潮盛典,//space.bilibili.com/595014228?from=search
【周深】六一儿童节福利《金钟罩铁布衫》,//www.bilibili.com/video/BV1rV411x7jm?from=search,17.4万,1756,2021-06-01,周深资讯站,//space.bilibili.com/194024972?from=search
【周深】《红玫瑰》多机位Live混剪×双语字幕丨2020国潮音乐嘉年华,//www.bilibili.com/video/BV1vK4y1h7XU?from=search,60.0万,2654,2020-10-17,周深资讯站,//space.bilibili.com/194024972?from=search
周深：“啊啊啊啊啊啊啊啊啊啊”,//www.bilibili.com/video/BV1tD4y1d7kh?from=search,36.0万,868,2020-10-14,阿宅Hsien,//space.bilibili.com/361040546?from=search
【跨舞台合唱】当林俊杰、吴青峰、周深共同演唱《起风了》网友： 该毁灭了！,//www.bilibili.com/video/BV1Uh411k7sq?from=search,331.3万,1.2万,2021-03-02,QQ音乐,//space.bilibili.com/533622509?from=search
【自存】南京大学毕业典礼上听到了周深唱的起风了QAQ,//www.bilibili.com/video/BV1jV411s76D?from=search,2.7万,34,2021-06-21,暮酒余温,//space.bilibili.com/162684301?from=search
鹅没有心 要不是nei nei 谁知道周深初舞台时候还唱了这个,//www.bilibili.com/video/BV1m5411K73L?from=search,6.5万,31,2021-06-17,沐春118,//space.bilibili.com/257451834?from=search
"全程高能""合唱版""《天下有情人》丨周华健、齐豫、李克勤、周深",//www.bilibili.com/video/BV1hX4y1A7Rw?from=search,5.1万,511,2021-06-20,酷狗音乐,//space.bilibili.com/518888859?from=search
"周深《千与千寻》主题曲 好听到爆炸【bilibili晚会单品】",//www.bilibili.com/video/BV1uJ411h7nB?from=search,1060.4万,7.9万,2019-12-31,哔哩哔哩晚会,//space.bilibili.com/489412051?from=search
【周深|reaction】太可爱啦 这才是猛男必看  德国小哥看周深唱儿歌,//www.bilibili.com/video/BV1ZM4y1M7e8?from=search,10.8万,1864,2021-06-14,德国小哥duke杜克,//space.bilibili.com/449208603?from=search
【纯享收藏级】周深《起风了》,//www.bilibili.com/video/BV1Yv411B7Kh?from=search,263.9万,7790,2020-06-27,小天才谢耳朵,//space.bilibili.com/226084148?from=search
[周深]2018年《蒙面唱将》第3季“宫廷背包客(小耳机or小汤圆)”cut,//www.bilibili.com/video/BV1Kt411S7Ru?from=search,196.0万,6.2万,2018-12-06,jyuan1104,//space.bilibili.com/237352980?from=search
没有人不想疯狂安利周深 [我们的歌]B组：那英老师安利周深，周华健和阿云嘎互相安利周深,//www.bilibili.com/video/BV1yJ411R7My?from=search,64.8万,843,2019-11-26,hikonia,//space.bilibili.com/2254270?from=search
【周深】《起风了》饭拍，这麦距它合法吗？！？！？！？！,//www.bilibili.com/video/BV18K411c7xY?from=search,67.3万,363,2021-04-25,卡布叻_桃子同学,//space.bilibili.com/80663609?from=search
周深演唱周董神曲《牛仔很忙》再现“达拉崩吧合唱团”,//www.bilibili.com/video/BV1kV411i7oL?from=search,118.2万,6637,2021-02-12,酷狗音乐,//space.bilibili.com/518888859?from=search
【周深】听哭了《遇见》2021毕业歌会超高音质,//www.bilibili.com/video/BV1z54y1G74t?from=search,7.5万,70,2021-06-20,月落南笙巷,//space.bilibili.com/244144227?from=search
【周深】《月光爱人》多机位Live混剪 × 八语字幕丨2021南山流行音乐节,//www.bilibili.com/video/BV1vw411Z7H8?from=search,10.3万,1195,2021-06-07,周深资讯站,//space.bilibili.com/194024972?from=search
2020歌手当打之年 周深cut合集 暴力硬核剪辑,//www.bilibili.com/video/BV1Fh411o75k?from=search,82.6万,3.7万,2020-08-16,WHYy歪,//space.bilibili.com/37908330?from=search
【周深】生日直播《偏爱》 啊爷青回！！,//www.bilibili.com/video/BV1G54y1k7Ad?from=search,57.3万,1396,2020-09-30,阿宅Hsien,//space.bilibili.com/361040546?from=search
